Position,artists,track_name,Days,Top 10(xTimes),PeakPosition,PeakPosition(xTimes),PeakStreams,totalstreams
131,MorganWallen,WastedOnYou,687,10.0,1,(x1),1232815,246675467
132,Drake,LaughNowCryLater,449,89.0,2,(x20),2600470,246389835
133,BrunoMars,That'sWhatILike,517,78.0,3,(x3),1236698,245642565
134,KendrickLamar,DNA.,451,69.0,2,(x15),3633524,242841173
135,TheWeeknd,SaveYourTears,692,49.0,2,(x4),1465508,242055670
136,PoloG,Martin&Gina,702,0.0,21,0,553876,241128929
137,TheWeeknd,DieForYou,682,1.0,10,0,820834,240869086
138,Eminem,Godzilla,665,28.0,2,(x5),2573682,240271807
139,BigSean,BounceBack,531,79.0,3,(x7),1388544,239157563
140,SteveLacy,BadHabit,183,136.0,1,(x66),1691327,239087671
141,JackHarlow,WHATSPOPPIN,519,89.0,2,(x12),1248272,238356467
142,XXXTENTACION,EverybodyDiesInTheirNightmares,772,3.0,6,0,2023396,238214306
143,Desiigner,Panda,518,109.0,1,(x6),1652864,237739871
144,ShawnMendes,Señorita,400,77.0,1,(x26),1948638,236868842
145,FleetwoodMac,Dreams2004Remaster,781,17.0,6,0,1032229,236167945
146,CardiB,BodakYellow,489,79.0,2,(x6),1383846,235788390
147,BobbyHelms,JingleBellRock,335,98.0,1,(x1),4516839,235335220
148,Drake,Jumpman,584,134.0,2,(x2),929883,235129660
149,TrevorDaniel,Falling,455,76.0,4,0,1101319,234818302
150,BadBunny,DÁKITI,596,42.0,1,(x6),1499819,234636216
151,Rihanna,NeededMe,494,154.0,2,(x3),1018495,233794067
152,5SecondsofSummer,Youngblood,608,0.0,12,0,944436,233302902
153,TheKillers,Mr.Brightside,877,0.0,35,0,407790,232977345
154,BabyKeem,familyties,487,29.0,3,(x1),1422177,232461442
155,DojaCat,Woman,489,26.0,7,0,864796,232370353
156,ArcticMonkeys,505,692,0.0,13,0,510329,231800625
157,LilNasX,OldTownRoadRemix,317,95.0,1,(x30),3113535,229868299
158,DJKhaled,I'mtheOne,332,112.0,2,(x29),2427536,227464533
159,Drake,HotlineBling,555,150.0,1,(x28),1506243,226915487
160,ABoogieWitdaHoodie,Drowning,591,0.0,18,0,674840,225834058
161,XXXTENTACION,changes,560,7.0,4,0,2449891,225063813
162,MachineGunKelly,myex'sbestfriend,596,3.0,9,0,891324,223702831
163,Bazzi,Mine,510,51.0,3,(x4),1336329,223577524
164,Zedd,TheMiddle,561,45.0,5,0,1159767,223370198
165,JustinBieber,Sorry,466,131.0,1,(x53),1783498,222779216
166,ConanGray,Heather,647,13.0,8,0,888848,222474626
167,PostMalone,Goodbyes(Feat.YoungThug),329,91.0,1,(x7),2323437,220243023
168,XXXTENTACION,LookAtMe!,668,0.0,20,0,1035184,218130170
169,BadBunny,MePortoBonito,237,154.0,2,(x27),1947674,217545422
170,J.Cole,WetDreamz,1130,0.0,12,0,397175,217277232
171,AndyWilliams,It'stheMostWonderfulTimeoftheYear,342,72.0,3,(x2),3837208,214480695
172,JackHarlow,WHATSPOPPIN,444,77.0,6,0,1030175,212620780
173,LewisCapaldi,BeforeYouGo,672,0.0,39,0,558202,211623667
174,JuiceWRLD,LeanWitMe,671,1.0,8,0,992697,209772076
175,TameImpala,TheLessIKnowTheBetter,893,0.0,103,0,323134,209554986
176,G-Eazy,"EazyMe,Myself&I",513,148.0,2,(x12),997340,208480098
177,BadBunny,TitíMePreguntó,237,151.0,3,(x11),1885979,207857104
178,TwentyOnePilots,Ride,708,65.0,4,0,824424,207848346
179,KendrickLamar,AllTheStars,404,78.0,2,(x10),1794893,207519025
180,TwentyOnePilots,StressedOut,706,90.0,3,(x2),835612,207439306
181,BillieEilish,HappierThanEver,459,30.0,3,(x12),1688659,207031225
182,Aminé,Caroline,537,77.0,6,0,861158,206635412
183,6ix9ine,FEFE,271,66.0,2,(x20),2188635,206222122
184,Drake,TooGood,359,150.0,2,(x19),1092508,205088227
185,"Tyler,TheCreator",EARFQUAKE,526,34.0,1,(x7),2210014,204484344
186,Khalid,LoveLies,445,14.0,8,0,1088271,204075140
187,JustinBieber,Peaches,312,58.0,1,(x10),2181089,203494777
188,KendrickLamar,MoneyTrees,726,0.0,38,0,481011,203375167
189,YoungThug,TheLondon,401,49.0,1,(x3),2397579,203093189
190,Future,LowLife,604,0.0,11,0,670545,202769617
191,Panic!AtTheDisco,HighHopes,535,0.0,12,0,862030,201888489
192,SAINtJHN,RosesImanbekRemix,431,47.0,5,0,1009144,201135462
193,Powfu,deathbed,478,7.0,9,0,797933,200371352
194,RaeSremmurd,BlackBeatles,384,82.0,1,(x21),2318636,200178133
195,Rihanna,Work,408,91.0,1,(x62),1843176,199973584
196,BillieEilish,everythingiwanted,435,42.0,1,(x4),2128318,199922212
197,JonasBrothers,Sucker,414,30.0,1,(x11),3105964,199695180
198,RichTheKid,PlugWalk,417,29.0,6,0,1341514,198858962
199,JustinBieber,LoveYourself,458,138.0,1,(x24),1333001,198773307
200,Migos,Slippery,477,0.0,17,0,701264,197966789
201,21Savage,alot,412,24.0,2,(x1),1525801,197950103
202,FlippDinero,LeaveMeAlone,418,12.0,10,0,997477,197450612
203,Dan+Shay,Tequila,723,0.0,48,0,483056,196958667
204,BrysonTiller,Exchange,837,0.0,22,0,452260,196861471
205,TwentyOnePilots,Heathens,410,100.0,3,(x34),1168637,195918435
206,DojaCat,Streets,477,57.0,3,(x12),1024708,195884808
207,Wham!,LastChristmas,315,56.0,4,0,3525042,195381527
208,JackHarlow,FirstClass,231,77.0,1,(x11),5962326,195314542
209,FettyWap,TrapQueen,622,159.0,1,(x31),844118,194792972
210,TheWeeknd,Can'tFeelMyFace,543,142.0,1,(x52),1053578,194406860
211,BrunoMars,LeaveTheDoorOpen,400,52.0,2,(x3),1765144,193296752
212,KodakBlack,RollInPeace,518,0.0,21,0,985417,192647458
213,TheNeighbourhood,DaddyIssues,705,0.0,50,0,359758,192551331
214,MorganWallen,MoreThanMyHometown,697,0.0,18,0,698510,191448082
215,GucciMane,WakeUpintheSky,340,14.0,6,0,1070430,189926403
216,Marshmello,Silence,468,16.0,7,0,958742,189144242
217,MichaelBublé,It'sBeginningtoLookaLotLikeChristmas,357,38.0,3,(x1),2978474,187463596
218,Maroon5,GirlsLikeYou,383,20.0,6,0,1263800,186579571
219,JustinBieber,WhatDoYouMean?,413,153.0,1,(x24),1358577,185795808
220,TheWeeknd,CallOutMyName,471,21.0,1,(x6),3490888,185191010
221,BØRNS,ElectricLove,737,0.0,39,0,460526,185017224
222,NF,LetYouDown,480,4.0,9,0,829153,184436690
223,FifthHarmony,WorkfromHome,420,116.0,3,(x21),1004803,184122003
224,Drake,Controlla,400,93.0,4,0,1020036,183609837
225,MorganWallen,Chasin'You,687,0.0,47,0,412670,183121183
226,ArianaGrande,SantaTellMe,348,26.0,5,0,2847060,182490361
227,EdSheeran,ThinkingoutLoud,792,118.0,1,(x3),665278,182153495
228,PopSmoke,WhatYouKnowBoutLove,422,44.0,5,0,945575,182024316
229,LilMosey,Noticed,531,0.0,17,0,836165,181647697
230,MikePosner,ITookAPillInIbizaSeebRemix,442,91.0,2,(x1),912432,181197216
231,EdSheeran,Perfect,488,0.0,11,0,931316,180975541
232,ArianaGrande,notearslefttocry,384,5.0,6,0,1783330,180563889
233,ChancetheRapper,NoProblem,568,0.0,13,0,695093,180053419
234,Mustard,PureWater,396,0.0,11,0,905428,180042907
235,Dan+Shay,Speechless,662,0.0,67,0,373102,179301739
236,TheChainsmokers,Roses,520,94.0,5,0,772979,178699372
237,Khalid,Talk,341,42.0,5,0,1284719,178662883
238,G,EazyNoLimit,373,79.0,2,(x8),1151926,178639729
239,21Savage,X,555,0.0,14,0,597896,178576237
240,SurfCurse,Freaks,556,0.0,29,0,466842,178535641
241,DemiLovato,SorryNotSorry,379,35.0,6,0,1009557,177157747
242,BillieEilish,buryafriend,364,16.0,3,(x2),2139874,176834584
243,KodakBlack,TunnelVision,396,38.0,5,0,1173162,176688536
244,Surfaces,SundayBest,412,0.0,13,0,751886,176430872
245,SleepyHallow,2055,454,12.0,7,0,826350,176244822
246,Dan+Shay,"10,000Hours",465,21.0,2,(x3),2073482,175930281
247,Migos,StirFry,336,60.0,2,(x12),1499177,175630677
248,ABoogieWitdaHoodie,LookBackAtIt,366,22.0,8,0,1146596,175483878
249,JustinBieber,Intentions,328,42.0,2,(x1),1901883,175135180
250,PostMalone,GoFlex,673,0.0,19,0,687250,174710816
251,TheWalters,ILoveYouSo,431,38.0,7,0,683985,174547021
252,EdSheeran,BadHabits,350,49.0,7,0,1259918,174488164
253,A$APFerg,PlainJane,408,22.0,6,0,929255,174255086
254,FamousDex,PICKITUP,421,0.0,13,0,800864,173990426
255,MajorLazer,LeanOn,588,142.0,2,(x7),681007,173817845
256,EltonJohn,ColdHeartPNAURemix,408,1.0,9,0,683288,173542648
257,DuaLipa,NewRules,399,0.0,11,0,783946,173328947
258,EdSheeran,Shivers,399,6.0,6,0,980767,173225595
259,MacMiller,TheSpins,612,0.0,54,0,369869,173209349
260,Adele,EasyOnMe,246,73.0,1,(x29),5435431,173180228
261,ArianaGrande,positions,333,69.0,1,(x25),2805107,172797966
262,TateMcRae,youbrokemefirst,503,0.0,16,0,664700,172703722
263,KodakBlack,SuperGremlin,346,117.0,2,(x9),1054999,171909115
264,LilNasX,Panini,249,67.0,1,(x2),2147076,171512571
265,Drake,Way2Sexy,280,68.0,1,(x12),4962771,170202629
266,RoddyRicch,HighFashion,354,27.0,4,0,1118927,169149991
267,EdSheeran,IDon'tCare,323,54.0,1,(x7),3107778,168839409
268,BillieEilish,oceaneyes,623,0.0,61,0,410592,168543006
269,"Tyler,TheCreator",SeeYouAgain,565,0.0,24,0,499844,168256802
270,Migos,WalkItTalkIt,358,14.0,3,(x1),1584838,168214275
271,LadyGaga,Shallow,403,7.0,6,0,1310071,167883840
272,Drake,JimmyCooks,195,107.0,1,(x1),3642078,166499191
273,DojaCat,SaySo,308,51.0,2,(x1),1262821,165898476
274,FettyWap,679,501,111.0,2,(x14),850028,165220739
275,KaliUchis,telepatía,395,44.0,3,(x8),1064644,164803198
276,Calboy,EnvyMe,440,0.0,22,0,669228,164149940
277,JustinBieber,Ghost,399,4.0,9,0,895735,163964781
278,Adele,Hello,404,89.0,1,(x19),2758752,163937424
279,Joji,GlimpseofUs,201,83.0,1,(x16),2474076,163315058
280,BurlIves,AHollyJollyChristmasSingleVersion,278,31.0,5,0,4242454,163198351
281,JuliaMichaels,Issues,414,0.0,11,0,959567,163082925
282,KateBush,RunningUpThatHill(ADealWithGod),182,98.0,1,(x30),2430143,163034803
283,Migos,TShirt,393,23.0,6,0,1068559,162318539
284,Giveon,HEARTBREAKANNIVERSARY,371,30.0,8,0,950623,162181516
285,ZAYN,IDon’tWannaLiveForever(FiftyShadesDarker),378,72.0,3,(x14),1195770,161895465
286,Drake,ToosieSlide,239,79.0,1,(x20),2670968,161667752
287,KanyeWest,FatherStretchMyHandsPt.1,607,12.0,4,0,855048,161479699
288,Zedd,Stay,317,4.0,9,0,977390,161032066
289,MajorLazer,ColdWater,274,99.0,1,(x10),1389715,160700352
290,LilNasX,THATSWHATIWANT,358,23.0,2,(x1),1896424,160369392
291,Future,WAITFORU,243,24.0,2,(x1),1885004,160359546
292,LilUziVert,SanguineParadise,382,30.0,6,0,1205774,160244733
293,Maroon5,Memories,372,17.0,6,0,1118361,159686092
294,LilPump,GucciGang,242,90.0,2,(x51),1574100,159368635
295,LilUziVert,MoneyLonger,648,0.0,33,0,440383,159142673
296,DJSnake,LetMeLoveYou,300,107.0,3,(x16),1147152,158366154
297,HaileeSteinfeld,Starving,423,36.0,9,0,765280,158320524
298,JPSaxe,IfTheWorldWasEnding,520,0.0,43,0,444524,156928093
299,TheChainsmokers,SomethingJustLikeThis,364,29.0,2,(x2),1478265,156839599
300,OliviaRodrigo,favoritecrime,384,32.0,4,0,1886343,156762362
301,ChrisStapleton,TennesseeWhiskey,747,0.0,34,0,440951,156707370
302,GucciMane,IGetTheBag,335,13.0,7,0,931108,156184444
303,MaskedWolf,AstronautInTheOcean,290,58.0,4,0,1028047,155387513
304,Khalid,SaturdayNights,391,0.0,13,0,965483,154969059
305,H.E.R.,BestPart,635,0.0,53,0,483402,154582091
306,Rob$tone,ChillBill,442,4.0,10,0,686873,154052440
307,YNWMelly,223's,325,45.0,4,0,1161395,152984591
308,Hozier,TakeMeToChurch,644,147.0,1,(x58),669026,152777306
309,EdSheeran,BeautifulPeople,309,39.0,3,(x1),1615072,152409919
310,ArianaGrande,"breakupwithyourgirlfriend,i'mbored",235,49.0,1,(x4),3498779,152246486
311,PlayboiCarti,Magnolia,365,1.0,10,0,868222,151502606
312,BeachHouse,SpaceSong,549,0.0,55,0,434347,151348745
313,JAY,ZNi**asInParis,995,0.0,97,0,318805,151213181
314,CalvinHarris,ThisIsWhatYouCameFor,288,106.0,2,(x1),975411,149620244
315,ArianaGrande,34+35,291,63.0,1,(x5),2698854,148864140
316,DonToliver,AfterParty,400,0.0,11,0,768932,148828688
317,Lizzo,AboutDamnTime,243,51.0,3,(x1),1276164,148776441
318,CalvinHarris,Slide,281,15.0,8,0,967282,148615807
319,JuiceWRLD,Righteous,333,24.0,2,(x6),2690579,148152203
320,THESCOTTS,THESCOTTS,237,70.0,1,(x13),3345119,147793519
321,TheKidLAROI,WITHOUTYOU,338,33.0,6,0,769614,147434939
322,YoungThug,pickupthephone,552,0.0,29,0,455209,146950542
323,ZachBryan,SomethingintheOrange,251,20.0,4,0,992100,146934063
324,JustinTimberlake,"CAN'TSTOPTHEFEELING!(OriginalSongfromDreamWorksAnimation's""TROLLS"")",437,60.0,5,0,936011,146405505
325,ShawnMendes,Stitches,535,82.0,5,0,668552,146222899
326,PopSmoke,Dior,532,0.0,15,0,793436,145804298
327,DojaCat,Ain'tShit,356,39.0,4,0,1413486,145660715
328,LilTjay,CallingMyPhone,301,61.0,1,(x8),1860203,145633110
329,CharliePuth,Attention,346,0.0,16,0,797196,145299789
330,LilSkies,Nowadays,441,0.0,24,0,626292,144878462
331,DojaCat,YouRight,386,13.0,4,0,1574035,144688259
332,Drake,Portland,331,26.0,2,(x5),2385233,144664417
333,BingCrosby,WhiteChristmas,280,17.0,1,(x1),2836396,144606354
334,HarryStyles,LateNightTalking,219,29.0,2,(x10),3721821,144096811
335,JayRock,King'sDead,292,31.0,7,0,1146306,144088666
336,CardiB,Up,247,76.0,2,(x4),1133283,143743718
337,BadBunny,MIA,287,22.0,2,(x5),2409584,143656931
338,HaileeSteinfeld,LetMeGo,357,0.0,17,0,728233,143350902
339,TheWeeknd,IFeelItComing,331,21.0,5,0,1157486,143319177
340,Sia,CheapThrills,371,9.0,9,0,822906,142986096
341,SZA,LoveGalore,426,0.0,23,0,645447,142655912
342,LukasGraham,7Years,414,79.0,2,(x8),972767,142277410
343,MorganWallen,YouProof,230,6.0,9,0,1723507,141716685
344,gnash,"ihateu,iloveu",385,0.0,16,0,563858,141690287
345,RaeSremmurd,Swang,393,0.0,21,0,680384,141632137
346,NatKingCole,TheChristmasSong(MerryChristmasToYou),232,12.0,5,0,3214273,141071360
347,DeanLewis,BeAlright,453,0.0,19,0,671232,141016791
348,PostMalone,ILikeYou(AHappierSong),208,96.0,2,(x1),2000190,140872042
349,LilXan,Betrayed,374,0.0,21,0,669421,140250610
350,YotClub,YKWIM?,504,0.0,58,0,351933,139804345
351,KendrickLamar,LOYALTY.FEAT.RIHANNA.,330,14.0,4,0,2725761,139730182
352,SamSmith,DancingWithAStranger,328,3.0,10,0,1143794,138760630
353,DojaCat,GetIntoIt(Yuh),391,0.0,16,0,751498,138640495
354,Migos,MotorSport,311,11.0,6,0,1088075,138467640
355,CarolinaGaitán,LaGaitaWeDon'tTalkAboutBruno,201,104.0,1,(x55),1486869,138398595
356,HarryStyles,Falling,501,3.0,4,0,1454982,138072456
357,DJKhaled,WildThoughts,231,71.0,1,(x1),1578440,138033504
358,LilUziVert,YouWasRight,501,0.0,26,0,490509,138001040
359,Kiiara,Gold,403,0.0,18,0,582552,137920503
360,KanyeWest,Heartless,439,0.0,38,0,463393,137403023
361,LukeCombs,ForeverAfterAll,403,7.0,2,(x5),2346240,137048398
362,MarkRonson,UptownFunk,531,127.0,1,(x56),778194,136885294
363,FrankSinatra,LetItSnow!LetItSnow!LetItSnow!,305,8.0,8,0,2646892,136448853
364,Y2K,Lalala,321,0.0,11,0,820166,136394278
365,SkiMaskTheSlumpGod,FaucetFailure,415,0.0,25,0,671084,136293354
366,JackÜ,WhereAreÜNow,447,118.0,3,(x1),564731,135999812
367,FloRida,MyHouse,411,64.0,4,0,787490,135782448
368,NoahCyrus,July,509,0.0,56,0,438400,135753612
369,LilTjay,F.N,442,0.0,23,0,703283,135359031
370,DJKhaled,POPSTAR,317,26.0,1,(x2),2013630,135192435
371,Saweetie,BestFriend,299,1.0,10,0,732662,135156338
372,BadBunny,Efecto,236,16.0,9,0,1315548,134743830
373,TheWeeknd,SaveYourTears,327,8.0,2,(x1),1723905,134482363
374,ArianaGrande,SideToSide,332,75.0,5,0,875628,134449731
375,BadBunny,Yonaguni,347,14.0,3,(x2),1727530,133665412
376,LiamPayne,StripThatDown,311,0.0,11,0,770674,133182143
377,TheWeeknd,EarnedIt(FiftyShadesOfGrey),532,103.0,2,(x2),612611,132827332
378,Drake,FairTrade,301,33.0,2,(x2),5616734,132758753
379,MorganWallen,SandInMyBoots,460,2.0,4,0,1020974,132664367
380,TrippieRedd,MissTheRage,349,8.0,3,(x6),1699784,132399703
381,BrunoMars,24KMagic,349,13.0,5,0,937406,132118188
382,LilNasX,OldTownRoad,175,50.0,1,(x2),2450954,132031403
383,ZAYN,PILLOWTALK,297,84.0,1,(x10),1277421,131983424
384,BTS,Dynamite,332,14.0,3,(x3),1824254,131917493
385,Kygo,ItAin'tMe,272,28.0,3,(x3),1169170,130487216
386,DaBaby,VIBEZ,285,2.0,4,0,1371845,129872425
387,Russ,LosinControl,512,0.0,58,0,379457,129835284
388,Portugal.TheMan,FeelItStill,331,0.0,13,0,756792,129571919
389,NEIKED,BetterDays(NEIKEDxMaeMullerxPoloG),321,20.0,6,0,883029,129400161
390,ShawnMendes,TreatYouBetter,321,1.0,10,0,740821,129275991
391,BadBunny,MoscowMule,219,11.0,1,(x1),2582359,128972121
392,CardiB,Money,273,1.0,9,0,1148815,128812752
393,MorganWallen,7Summers,388,7.0,3,(x2),2269891,128247607
